project_code,project_name,category,batch_no,publish_year,entry_type,region_raw,province,protection_unit_normalized,source_url,collected_at
I-1,苗族古歌,民间文学,1,2006,new,贵州省黄平县,贵州省,黄平县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00
I-1,苗族古歌,民间文学,1,2006,new,贵州省台江县,贵州省,台江县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00
I-1,苗族古歌,民间文学,3,2011,extension,湖南省花垣县,湖南省,花垣县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00
I-1,苗族古歌(簪汪传),民间文学,5,2021,extension,贵州省贵阳市清镇市,贵州省,清镇市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00
I-10,西施传说,民间文学,1,2006,new,浙江省诸暨市,浙江省,诸暨市博物馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-100,王羲之传说,民间文学,3,2011,new,浙江省绍兴市,浙江省,绍兴市文化馆、绍兴市非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-101,李时珍传说,民间文学,3,2011,new,湖北省蕲春县,湖北省,蕲春县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-102,蔡伦造纸传说,民间文学,3,2011,new,陕西省汉中市,陕西省,汉中市民间文艺家协会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-103,牡丹传说,民间文学,3,2011,new,山东省菏泽市牡丹区,山东省,菏泽市牡丹区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-104,泰山传说,民间文学,3,2011,new,山东省泰安市,山东省,泰安市泰山风景名胜区管理委员会(泰山林场),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-105,黄鹤楼传说,民间文学,3,2011,new,湖北省武汉市武昌区,湖北省,武汉市黄鹤楼公园管理处,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-106,烂柯山的传说,民间文学,3,2011,new,山西省陵川县,山西省,陵川县文化馆(陵川县上党梆子传习所),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-106,烂柯山的传说,民间文学,3,2011,new,浙江省衢州市,浙江省,衢州市文化馆(衢州市非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-107,珞巴族始祖传说,民间文学,3,2011,new,西藏自治区米林县,西藏自治区,西藏林芝市米林县文化和旅游局,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-108,阿尼玛卿雪山传说,民间文学,3,2011,new,青海省果洛藏族自治州,青海省,果洛州文化馆(果洛州非物质文化遗产传承保护中心、果洛州群众体育指导服务中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-109,锡伯族民间故事,民间文学,3,2011,new,辽宁省沈阳市,辽宁省,沈阳市于洪区文化旅游体育事务服务中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-11,济公传说,民间文学,1,2006,new,浙江省天台县,浙江省,台州市天台山文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-110,嘉黎民间故事,民间文学,3,2011,new,西藏自治区嘉黎县,西藏自治区,西藏那曲市嘉黎县文化和旅游局,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-111,海洋动物故事,民间文学,3,2011,new,浙江省洞头县,浙江省,温州市洞头区民间文艺工作者协会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-112,土家族哭嫁歌,民间文学,3,2011,new,湖南省古丈县,湖南省,古丈县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
I-112,土家族哭嫁歌,民间文学,3,2011,new,湖南省永顺县,湖南省,永顺县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00
