inheritor_id,name,project_code,child_num,province,match_status,matched_subitem_id,reason
inheritor_716,王安江,I-1,I-001_01_522630,贵州省,matched,subitem_12178,child_num 精确匹配
inheritor_717,刘永洪,I-1,I-001_01_522630,贵州省,matched,subitem_12178,child_num 精确匹配
inheritor_718,龙通珍,I-1,I-001_01_522622,贵州省,matched,subitem_12177,child_num 精确匹配
inheritor_719,王明芝,I-1,I-001_01_522622,贵州省,matched,subitem_12177,child_num 精确匹配
inheritor_720,曹明宽,I-3,I-003_01_533122,云南省,matched,subitem_12181,child_num 精确匹配
inheritor_721,李扎戈,I-4,I-004_01_530802,云南省,matched,subitem_12182,child_num 精确匹配
inheritor_722,李扎倮,I-4,I-004_01_530802,云南省,matched,subitem_12182,child_num 精确匹配
inheritor_723,石光明,I-5,I-005_01_522623,贵州省,matched,subitem_12183,child_num 精确匹配
inheritor_724,吴治光,I-5,I-005_01_522623,贵州省,matched,subitem_12183,child_num 精确匹配
inheritor_725,乔玉安,I-13,I-013_01_620902,甘肃省,matched,subitem_12208,child_num 精确匹配
inheritor_726,靳景祥,I-14,I-014_01_130182,河北省,matched,subitem_12212,child_num 精确匹配
inheritor_727,靳正新,I-14,I-014_01_130182,河北省,matched,subitem_12212,child_num 精确匹配
inheritor_728,刘德方,I-16,I-016_01_420506,湖北省,matched,subitem_12214,child_num 精确匹配
inheritor_729,魏显德,I-17,I-017_01_500107,重庆市,matched,subitem_12215,child_num 精确匹配
inheritor_730,谭振山,I-20,I-020_01_210181,辽宁省,matched,subitem_12218,child_num 精确匹配
inheritor_731,陆瑞英,I-22,I-022_01_320500,江苏省,matched,subitem_12220,child_num 精确匹配
inheritor_732,杨文英,I-22,I-022_01_320500,江苏省,matched,subitem_12220,child_num 精确匹配
inheritor_733,朱小和,I-24,I-024_01_532500,云南省,matched,subitem_12224,child_num 精确匹配
inheritor_734,居素甫·玛玛依,I-25,I-025_01_650000,新疆维吾尔自治区,matched,subitem_12225,child_num 精确匹配
inheritor_735,沙尔塔洪·卡德尔,I-25,I-025_01_650000,新疆维吾尔自治区,matched,subitem_12225,child_num 精确匹配
inheritor_736,加·朱乃,I-26,I-026_01_654226,新疆维吾尔自治区,matched,subitem_12231,child_num 精确匹配
inheritor_737,李日甫,I-26,I-026_01_650000,新疆维吾尔自治区,matched,subitem_12228,child_num 精确匹配
inheritor_738,夏日尼曼,I-26,I-026_01_650000,新疆维吾尔自治区,matched,subitem_12228,child_num 精确匹配
inheritor_739,次仁占堆,I-27,I-027_01_540000,西藏自治区,matched,subitem_12236,child_num 精确匹配
inheritor_740,才让旺堆,I-27,I-027_01_630000,青海省,matched,subitem_12238,child_num 精确匹配
inheritor_741,达哇扎巴,I-27,I-027_01_630000,青海省,matched,subitem_12238,child_num 精确匹配
inheritor_742,王永福,I-27,I-027_01_620000,甘肃省,matched,subitem_12237,child_num 精确匹配
inheritor_743,阿尼,I-27,I-027_01_510000,四川省,matched,subitem_12234,child_num 精确匹配
inheritor_744,吕日甫,I-27,I-027_01_650000,新疆维吾尔自治区,matched,subitem_12239,child_num 精确匹配
inheritor_745,毕华玉,I-28,I-028_01_530126,云南省,matched,subitem_12241,child_num 精确匹配
inheritor_746,王玉芳,I-28,I-028_01_530126,云南省,matched,subitem_12241,child_num 精确匹配
inheritor_747,何全梅,I-29,I-029_01_630223,青海省,matched,subitem_12242,child_num 精确匹配
inheritor_2508,王保合,VI-1,VI-001_01_130928,河北省,matched,subitem_13774,child_num 精确匹配
inheritor_2509,傅文刚,VI-3,VI-003_01_110000,北京市,matched,subitem_13776,child_num 精确匹配
inheritor_2510,张国良,VI-4,VI-004_01_110102,北京市,matched,subitem_13780,child_num 精确匹配
inheritor_2511,李连元,VI-4,VI-004_01_110102,北京市,matched,subitem_13780,child_num 精确匹配
inheritor_2512,阿迪力·吾休尔,VI-5,VI-005_01_650000,新疆维吾尔自治区,matched,subitem_13781,child_num 精确匹配
inheritor_2513,赵剑英,VI-8,VI-008_01_420300,湖北省,matched,subitem_13787,child_num 精确匹配
inheritor_2514,曹仕杰,VI-9,VI-009_01_120000,天津市,matched,subitem_13788,child_num 精确匹配
inheritor_2515,石同鼎,VI-10,VI-010_01_130900,河北省,matched,subitem_13789,child_num 精确匹配
inheritor_2516,杨振河,VI-11,VI-011_01_130429,河北省,matched,subitem_13794,child_num 精确匹配
inheritor_2517,韩会明,VI-11,VI-011_01_130429,河北省,matched,subitem_13794,child_num 精确匹配
