inheritor_id,name,gender,ethnicity,project_code,project_code_raw,child_num,project_name,category,region_raw,province,inheritor_batch_no,publish_year,source_url,collected_at,raw_record_id
inheritor_716,王安江,男,苗族,I-1,I-1,I-001_01_522630,苗族古歌,民间文学,贵州省台江县,贵州省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,716
inheritor_717,刘永洪,男,苗族,I-1,I-1,I-001_01_522630,苗族古歌,民间文学,贵州省台江县,贵州省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,717
inheritor_718,龙通珍,女,苗族,I-1,I-1,I-001_01_522622,苗族古歌,民间文学,贵州省黄平县,贵州省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,718
inheritor_719,王明芝,女,苗族,I-1,I-1,I-001_01_522622,苗族古歌,民间文学,贵州省黄平县,贵州省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,719
inheritor_720,曹明宽,男,阿昌族,I-3,I-3,I-003_01_533122,遮帕麻和遮咪麻,民间文学,云南省梁河县,云南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,720
inheritor_721,李扎戈,男,拉祜族,I-4,I-4,I-004_01_530802,牡帕密帕,民间文学,云南省普洱市,云南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,721
inheritor_722,李扎倮,男,拉祜族,I-4,I-4,I-004_01_530802,牡帕密帕,民间文学,云南省普洱市,云南省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,722
inheritor_723,石光明,男,苗族,I-5,I-5,I-005_01_522623,刻道,民间文学,贵州省施秉县,贵州省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,723
inheritor_724,吴治光,男,苗族,I-5,I-5,I-005_01_522623,刻道,民间文学,贵州省施秉县,贵州省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,724
inheritor_725,乔玉安,男,汉族,I-13,I-13,I-013_01_620902,河西宝卷,民间文学,甘肃省酒泉市肃州区,甘肃省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,725
inheritor_726,靳景祥,男,汉族,I-14,I-14,I-014_01_130182,耿村民间故事,民间文学,河北省藁城市,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,726
inheritor_727,靳正新,男,汉族,I-14,I-14,I-014_01_130182,耿村民间故事,民间文学,河北省藁城市,河北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,727
inheritor_728,刘德方,男,汉族,I-16,I-16,I-016_01_420506,下堡坪民间故事,民间文学,湖北省宜昌市夷陵区,湖北省,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,728
inheritor_729,魏显德,男,汉族,I-17,I-17,I-017_01_500107,走马镇民间故事,民间文学,重庆市九龙坡区,重庆市,1,2007,http://www.ihchina.cn/art/representative.html?limit=100&p=1,2026-08-06T10:35:17+00:00,729
