project_code,project_name,category,min_batch,max_batch,first_publish_year,province_list,protection_units,subitem_count
I-1,苗族古歌,民间文学,1,5,2006,湖南省、贵州省,4,4
I-10,西施传说,民间文学,1,1,2006,浙江省,1,1
I-100,王羲之传说,民间文学,3,3,2011,浙江省,1,1
I-101,李时珍传说,民间文学,3,3,2011,湖北省,1,1
I-102,蔡伦造纸传说,民间文学,3,3,2011,陕西省,1,1
I-103,牡丹传说,民间文学,3,3,2011,山东省,1,1
I-104,泰山传说,民间文学,3,3,2011,山东省,1,1
I-105,黄鹤楼传说,民间文学,3,3,2011,湖北省,1,1
I-106,烂柯山的传说,民间文学,3,3,2011,山西省、浙江省,2,2
I-107,珞巴族始祖传说,民间文学,3,3,2011,西藏自治区,1,1
I-108,阿尼玛卿雪山传说,民间文学,3,3,2011,青海省,1,1
I-109,锡伯族民间故事,民间文学,3,3,2011,辽宁省,1,1
I-11,济公传说,民间文学,1,1,2006,浙江省,1,1
I-110,嘉黎民间故事,民间文学,3,3,2011,西藏自治区,1,1
I-111,海洋动物故事,民间文学,3,3,2011,浙江省,1,1
I-112,土家族哭嫁歌,民间文学,3,3,2011,湖南省,2,2
I-113,坡芽情歌,民间文学,3,3,2011,云南省,1,1
I-114,祝赞词,民间文学,3,5,2011,内蒙古自治区、新疆维吾尔自治区、甘肃省,4,4
I-115,黑暗传,民间文学,3,3,2011,湖北省,2,2
I-116,陶克陶胡,民间文学,3,3,2011,吉林省,1,1
I-117,密洛陀,民间文学,3,3,2011,广西壮族自治区,1,1
I-118,亚鲁王,民间文学,3,3,2011,贵州省,1,1
I-119,目瑙斋瓦,民间文学,3,3,2011,云南省,1,1
I-12,满族说部,民间文学,1,5,2006,吉林省、黑龙江省,2,2
I-120,洛奇洛耶与扎斯扎依,民间文学,3,3,2011,云南省,1,1
I-121,阿细先基,民间文学,3,3,2011,云南省,1,1
I-122,羌戈大战,民间文学,3,3,2011,四川省,1,1
I-123,恰克恰克,民间文学,3,3,2011,新疆维吾尔自治区,1,1
I-124,酉阳古歌,民间文学,3,3,2011,重庆市,1,1
I-125,谚语(沪谚),民间文学,3,5,2011,上海市、新疆维吾尔自治区、陕西省,3,3
I-126,卢沟桥传说,民间文学,4,4,2014,北京市,1,1
I-127,鬼谷子传说,民间文学,4,4,2014,河北省,1,1
I-128,东海孝妇传说,民间文学,4,4,2014,江苏省,1,1
I-129,刘阮传说,民间文学,4,4,2014,浙江省,1,1
I-13,河西宝卷,民间文学,1,5,2006,江苏省、甘肃省,6,6
I-130,孔雀东南飞传说,民间文学,4,4,2014,安徽省,2,2
I-131,老子传说,民间文学,4,4,2014,安徽省、河南省,2,2
I-132,陈三五娘传说,民间文学,4,4,2014,福建省,1,1
I-133,胡峄阳传说,民间文学,4,4,2014,山东省,1,1
I-134,孟母教子传说,民间文学,4,4,2014,山东省,1,1
I-135,河图洛书传说,民间文学,4,4,2014,河南省,1,1
I-136,杞人忧天传说,民间文学,4,4,2014,河南省,1,1
I-137,三国传说,民间文学,4,4,2014,湖北省,1,1
I-138,伯牙子期传说,民间文学,4,4,2014,湖北省,1,1
I-139,尹吉甫传说,民间文学,4,4,2014,湖北省,1,1
I-14,耿村民间故事,民间文学,1,1,2006,河北省,1,1
I-140,苏仙传说,民间文学,4,4,2014,湖南省,1,1
I-141,毕阿史拉则传说,民间文学,4,4,2014,四川省,1,1
I-142,仓颉传说,民间文学,4,4,2014,陕西省,2,2
I-143,骆驼泉传说,民间文学,4,4,2014,青海省,1,1
I-144,回族民间故事,民间文学,4,4,2014,宁夏回族自治区,1,1
I-145,广禅侯故事,民间文学,4,4,2014,山西省,1,1
I-146,解缙故事,民间文学,4,4,2014,江西省,1,1
I-147,壮族百鸟衣故事,民间文学,4,4,2014,广西壮族自治区,1,1
I-148,阿凡提故事,民间文学,4,4,2014,新疆维吾尔自治区,1,1
I-149,广阳镇民间故事,民间文学,4,4,2014,重庆市,1,1
I-15,伍家沟民间故事,民间文学,1,1,2006,湖北省,1,1
I-150,西王母神话,民间文学,4,4,2014,新疆维吾尔自治区,1,1
I-151,盘王大歌,民间文学,4,4,2014,湖南省,1,1
I-152,玛牧,民间文学,4,4,2014,四川省,1,1
I-153,黑白战争,民间文学,4,4,2014,云南省,1,1
I-154,祁家延西,民间文学,4,4,2014,青海省,1,1
I-155,常山喝彩歌谣,民间文学,4,4,2014,浙江省,1,1
I-156,八大处传说,民间文学,5,5,2021,北京市,1,1
I-157,玄奘传说,民间文学,5,5,2021,河南省,1,1
I-158,女娲传说,民间文学,5,5,2021,湖北省,1,1
I-159,老司城传说,民间文学,5,5,2021,湖南省,1,1
I-16,下堡坪民间故事,民间文学,1,1,2006,湖北省,1,1
I-160,珠玑巷人南迁传说,民间文学,5,5,2021,广东省,1,1
I-161,张骞传说,民间文学,5,5,2021,陕西省,1,1
I-162,藏族民间传说(年保玉则传说),民间文学,5,5,2021,青海省,1,1
I-163,鄂温克族民间故事,民间文学,5,5,2021,内蒙古自治区,1,1
I-164,包公故事,民间文学,5,5,2021,安徽省,1,1
I-165,仫佬族古歌,民间文学,5,5,2021,广西壮族自治区,1,1
I-166,巴狄雄萨滚,民间文学,5,5,2021,贵州省,1,1
I-167,都玛简收,民间文学,5,5,2021,云南省,1,1
I-17,走马镇民间故事,民间文学,1,1,2006,重庆市,1,1
I-18,古渔雁民间故事,民间文学,1,1,2006,辽宁省,1,1
I-19,喀左东蒙民间故事,民间文学,1,1,2006,辽宁省,1,1
I-2,布洛陀,民间文学,1,1,2006,广西壮族自治区,1,1
I-20,谭振山民间故事,民间文学,1,1,2006,辽宁省,1,1
I-21,河间歌诗,民间文学,1,1,2006,河北省,1,1
I-22,吴歌,民间文学,1,2,2006,上海市、江苏省,3,3
I-23,刘三姐歌谣,民间文学,1,1,2006,广西壮族自治区,1,1
I-24,四季生产调,民间文学,1,1,2006,云南省,1,1
I-25,玛纳斯,民间文学,1,1,2006,新疆维吾尔自治区,2,2
I-26,江格尔,民间文学,1,5,2006,内蒙古自治区、新疆维吾尔自治区,5,5
