subitem_id,project_code,project_code_raw,project_code_normalized,project_num,project_name,category,batch_no,publish_year,entry_type,region_raw,province,province_map_name,city_code,county_code,applicant_region_or_unit,protection_unit_raw,protection_unit_normalized,source_url,collected_at,raw_record_id,manual_review_status
subitem_12178,I-1,I-1,I-1,I-001_01_522630,苗族古歌,民间文学,1,2006,new,贵州省台江县,贵州省,贵州省,522600,522630,贵州省台江县 <br /> <br /> 苗族分布在我国西南数省区,台江县非物质文化遗产保护中心,台江县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12178,
subitem_12177,I-1,I-1,I-1,I-001_01_522622,苗族古歌,民间文学,1,2006,new,贵州省黄平县,贵州省,贵州省,522600,522622,贵州省黄平县 <br /> <br /> 苗族分布在我国西南数省区,黄平县非物质文化遗产保护中心,黄平县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12177,
subitem_12179,I-1,I-1,I-1,I-001_03_433124,苗族古歌,民间文学,3,2011,extension,湖南省花垣县,湖南省,湖南省,433100,433124,"湖南省花垣县 <br /> <br /> 苗族古歌是苗族古老的口头文学形式,其内容包括开天辟地、战争迁徙、风俗习惯、生产劳动、神话传说、爱情故事、情歌礼辞、丧葬火把、苗医苗药以及天文哲学等",花垣县非物质文化遗产保护中心,花垣县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12179,
subitem_23632,I-1,I-1,I-1,I-001_10_520181,苗族古歌(簪汪传),民间文学,5,2021,extension,贵州省贵阳市清镇市,贵州省,贵州省,520100,520181,贵州省贵阳市清镇市,清镇市文化馆,清镇市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,23632,
subitem_12180,I-2,I-2,I-2,I-002_01_451021,布洛陀,民间文学,1,2006,new,广西壮族自治区田阳县,广西壮族自治区,广西壮族自治区,451000,451021,"广西壮族自治区田阳县 <br /> <br /> 布洛陀是壮族先民口头文学中的神话人物,是创世神、始祖神和道德神",田阳县文化馆,田阳县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12180,
subitem_12181,I-3,I-3,I-3,I-003_01_533122,遮帕麻和遮咪麻,民间文学,1,2006,new,云南省梁河县,云南省,云南省,533100,533122,"云南省梁河县 <br /> <br /> 阿昌族的长篇诗体创世神话《遮帕麻和遮咪麻》主要流传在云南省德宏傣族景颇族自治州梁河县阿昌族群众中,以唱诗和口头白话两种形式传承至今",梁河县文化馆,梁河县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12181,
subitem_12182,I-4,I-4,I-4,I-004_01_530802,牡帕密帕,民间文学,1,2006,new,云南省思茅市,云南省,云南省,530800,530802,"云南省思茅市 <br /> <br /> 牡帕密帕是拉祜族“波阔嘎阔”演唱的一部长篇诗体创世神话,流传于云南省思茅市澜沧拉祜族自治县境内",澜沧拉祜族自治县文化馆,澜沧拉祜族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12182,
subitem_12183,I-5,I-5,I-5,I-005_01_522623,刻道,民间文学,1,2006,new,贵州省施秉县,贵州省,贵州省,522600,522623,"贵州省施秉县 <br /> <br /> 苗族“刻道”即“刻木”,汉语译为《苗族开亲歌》,主要流传于贵州省施秉县杨柳塘镇飞云大峡谷的一个山坡洼地里",施秉县非物质文化遗产保护中心,施秉县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12183,
subitem_12184,I-6,I-6,I-6,I-006_01_321100,白蛇传传说,民间文学,1,2006,new,江苏省镇江市,江苏省,江苏省,321100,,"江苏省镇江市 <br /> <br /> 白蛇传传说是我国民间文学中的一颗璀璨明珠,所塑造的白娘子、许仙、法海和小青等人物形象,表达了广大人民对人性解放的渴望,是中华民族宝贵的精神文化遗产",镇江市非物质文化遗产保护中心,镇江市非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12184,
subitem_12185,I-6,I-6,I-6,I-006_01_330100,白蛇传传说,民间文学,1,2006,new,浙江省杭州市,浙江省,浙江省,330100,,"浙江省杭州市 <br /> <br /> 白蛇传传说是我国民间文学中的一颗璀璨明珠,所塑造的白娘子、许仙、法海和小青等人物形象,表达了广大人民对人性解放的渴望,是中华民族宝贵的精神文化遗产",杭州市文化馆（杭州市非物质文化遗产保护中心）,杭州市文化馆(杭州市非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12185,
subitem_12186,I-7,I-7,I-7,I-007_01_320282,梁祝传说,民间文学,1,2006,new,江苏省宜兴市,江苏省,江苏省,320200,320282,"江苏省宜兴市 <br /> <br /> 梁山伯与祝英台传说是我国四大民间传说之一,是中华文化的瑰宝",宜兴市华夏梁祝文化研究会,宜兴市华夏梁祝文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12186,
subitem_12188,I-7,I-7,I-7,I-007_01_330200,梁祝传说,民间文学,1,2006,new,浙江省宁波市,浙江省,浙江省,330200,,"浙江省宁波市 <br /> <br /> 梁山伯与祝英台传说是我国四大民间传说之一,是中华文化的瑰宝",宁波梁祝文化园管理有限公司,宁波梁祝文化园管理有限公司,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12188,
subitem_12187,I-7,I-7,I-7,I-007_01_330100,梁祝传说,民间文学,1,2006,new,浙江省杭州市,浙江省,浙江省,330100,,"浙江省杭州市 <br /> <br /> 梁山伯与祝英台传说是我国四大民间传说之一,是中华文化的瑰宝",杭州市文化馆（杭州市非物质文化遗产保护中心）,杭州市文化馆(杭州市非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12187,
subitem_12189,I-7,I-7,I-7,I-007_01_330682,梁祝传说,民间文学,1,2006,new,浙江省上虞市,浙江省,浙江省,330600,330682,"浙江省上虞市 <br /> <br /> 梁山伯与祝英台传说是我国四大民间传说之一,是中华文化的瑰宝",绍兴市上虞区文化馆（区非物质遗产保护中心）,绍兴市上虞区文化馆(区非物质遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12189,
subitem_12190,I-7,I-7,I-7,I-007_01_370800,梁祝传说,民间文学,1,2006,new,山东省济宁市,山东省,山东省,370800,,"山东省济宁市 <br /> <br /> 梁山伯与祝英台传说是我国四大民间传说之一,是中华文化的瑰宝",济宁市梁祝文化研究会,济宁市梁祝文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12190,
subitem_12191,I-7,I-7,I-7,I-007_01_411727,梁祝传说,民间文学,1,2006,new,河南省汝南县,河南省,河南省,411700,411727,"河南省汝南县 <br /> <br /> 梁山伯与祝英台传说是我国四大民间传说之一,是中华文化的瑰宝",汝南县文化馆,汝南县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12191,
subitem_12192,I-8,I-8,I-8,I-008_01_370300,孟姜女传说,民间文学,1,2006,new,山东省淄博市,山东省,山东省,370300,,"山东省淄博市 <br /> <br /> 据《左传》“襄公二十三年”载:公元前550年(春秋时期,齐庄公四年)秋,齐国将军杞梁率兵攻打莒国(今山东莒县),不幸身亡",淄博市淄川区公共文化服务中心（加挂淄川区文化馆、淄川区美术馆牌子）,淄博市淄川区公共文化服务中心(加挂淄川区文化馆、淄川区美术馆牌子),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12192,
subitem_12193,I-8,I-8,I-8,I-008_02_130300,孟姜女传说,民间文学,2,2008,extension,河北省秦皇岛市,河北省,河北省,130300,,"河北省秦皇岛市 <br /> <br /> 孟姜女传说在战国时期即见端倪,明清以来大为盛行,是各地戏曲、唱本等俗文学作品的常见题材,主要揭露封建社会繁重的徭役和剥削,歌颂忠贞的爱情",秦皇岛市山海关区文化馆,秦皇岛市山海关区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12193,
subitem_12194,I-8,I-8,I-8,I-008_02_430781,孟姜女传说,民间文学,2,2008,extension,湖南省津市市,湖南省,湖南省,430700,430781,"湖南省津市市 <br /> <br /> 孟姜女传说在战国时期即见端倪,明清以来大为盛行,是各地戏曲、唱本等俗文学作品的常见题材,主要揭露封建社会繁重的徭役和剥削,歌颂忠贞的爱情",津市市文化馆（津市市美术馆）,津市市文化馆(津市市美术馆),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12194,
subitem_12195,I-8,I-8,I-8,I-008_03_371122,孟姜女传说,民间文学,3,2011,extension,山东省莒县,山东省,山东省,371100,371122,"山东省莒县 <br /> <br /> 孟姜女传说的滥觞,源于齐国对莒国发动战争",莒县文化馆,莒县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12195,
subitem_12196,I-8,I-8,I-8,I-008_04_371202,孟姜女传说,民间文学,4,2014,extension,山东省莱芜市莱城区,山东省,山东省,371200,371202,山东省莱芜市莱城区,济南市文化馆（济南市非物质文化遗产保护中心、济南市艺术创作研究院）,济南市文化馆(济南市非物质文化遗产保护中心、济南市艺术创作研究院),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12196,
subitem_12197,I-9,I-9,I-9,I-009_01_140822,董永传说,民间文学,1,2006,new,山西省万荣县,山西省,山西省,140800,140822,山西省万荣县 <br /> <br /> 董永传说最早载于西汉刘向的《孝子传(图)》,万荣县文化馆,万荣县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12197,
subitem_12198,I-9,I-9,I-9,I-009_01_320981,董永传说,民间文学,1,2006,new,江苏省东台市,江苏省,江苏省,320900,320981,江苏省东台市 <br /> <br /> 董永传说最早载于西汉刘向的《孝子传(图)》,东台市文化馆,东台市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12198,
subitem_12199,I-9,I-9,I-9,I-009_01_410823,董永传说,民间文学,1,2006,new,河南省武陟县,河南省,河南省,410800,410823,河南省武陟县 <br /> <br /> 董永传说最早载于西汉刘向的《孝子传(图)》,武陟县董永文化服务中心,武陟县董永文化服务中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12199,
subitem_12200,I-9,I-9,I-9,I-009_01_420900,董永传说,民间文学,1,2006,new,湖北省孝感市,湖北省,湖北省,420900,,湖北省孝感市 <br /> <br /> 董永传说最早载于西汉刘向的《孝子传(图)》,孝感市群众艺术馆（孝感市非物质文化遗产保护中心）,孝感市群众艺术馆(孝感市非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12200,
subitem_12202,I-9,I-9,I-9,I-009_02_371625,董永传说,民间文学,2,2008,extension,江苏省金坛市,江苏省,江苏省,320400,320482,"江苏省金坛市 <br /> <br /> 董永传说是我国广为流传的四大民间传说之一,最早载于西汉刘向的《孝子传(图)》",常州市金坛区文化馆,常州市金坛区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12202,
subitem_12201,I-9,I-9,I-9,I-009_02_320482,董永传说,民间文学,2,2008,extension,山东省博兴县,山东省,山东省,371600,371625,"山东省博兴县 <br /> <br /> 董永传说是我国广为流传的四大民间传说之一,最早载于西汉刘向的《孝子传(图)》",博兴县文化馆,博兴县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12201,
subitem_12203,I-9,I-9,I-9,I-009_03_321181,董永传说,民间文学,3,2011,extension,江苏省丹阳市,江苏省,江苏省,321100,321181,"江苏省丹阳市 <br /> <br /> 董永传说渊源久远,是当代中国最为流行的传说故事之一,在江苏省丹阳市也得到广泛传承",丹阳市文化馆,丹阳市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12203,
subitem_12204,I-10,I-10,I-10,I-010_01_330681,西施传说,民间文学,1,2006,new,浙江省诸暨市,浙江省,浙江省,330600,330681,"浙江省诸暨市 <br /> <br /> 西施居中国古代四大美女之首,是中国传统文化中美的象征",诸暨市博物馆,诸暨市博物馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12204,
subitem_12205,I-11,I-11,I-11,I-011_01_331023,济公传说,民间文学,1,2006,new,浙江省天台县,浙江省,浙江省,331000,331023,"浙江省天台县 <br /> <br /> 济公传说是以南宋禅宗高僧道济的故事发展演变而来的一种民间口头文学,以天台为中心分布于浙江省境内,并由此辐射全国,影响世界",台州市天台山文化研究会,台州市天台山文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12205,
subitem_12206,I-12,I-12,I-12,I-012_01_220000,满族说部,民间文学,1,2006,new,吉林省,吉林省,吉林省,,,"吉林省 <br /> <br /> 吉林省东南部的长白山是满族的发祥地,满族先民自古就在这片广袤、美丽而神奇的沃土上繁衍生息",吉林省艺术研究院（吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心）,吉林省艺术研究院(吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12206,
subitem_23633,I-12,I-12,I-12,I-012_10_231124,满族说部(孙吴县满语故事),民间文学,5,2021,extension,黑龙江省黑河市孙吴县,黑龙江省,黑龙江省,231100,231124,黑龙江省黑河市孙吴县,孙吴县文化馆,孙吴县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,23633,
subitem_12207,I-13,I-13,I-13,I-013_01_620602,河西宝卷,民间文学,1,2006,new,甘肃省武威市凉州区,甘肃省,甘肃省,620600,620602,"甘肃省武威市凉州区 <br /> <br /> 河西宝卷主要流传于甘肃省河西走廊一带,这是我国至今仍有讲唱活动的少数地区之一",凉州区文化馆,凉州区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12207,
subitem_12208,I-13,I-13,I-13,I-013_01_620902,河西宝卷,民间文学,1,2006,new,甘肃省酒泉市肃州区,甘肃省,甘肃省,620900,620902,"甘肃省酒泉市肃州区 <br /> <br /> 河西宝卷主要流传于甘肃省河西走廊一带,这是我国至今仍有讲唱活动的少数地区之一",肃州区文化馆,肃州区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12208,
subitem_12209,I-13,I-13,I-13,I-013_02_321282,宝卷(靖江宝卷),民间文学,2,2008,extension,江苏省靖江市,江苏省,江苏省,321200,321282,"江苏省靖江市 <br /> <br /> 宝卷是由唐代变文和宋代说经演化而成的一种俗讲文本,明清以来包容进了大量的民间传说、民歌民谣和社会风俗内容,成为亦圣亦俗、亦庄亦谐、叙事为主、韵散结合的民间文学文体",靖江市文化馆,靖江市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12209,
