subitem_id,project_code,project_code_raw,project_code_normalized,project_name,category,batch_no,publish_year,entry_type,region_raw,province,province_map_name,city_code,county_code,applicant_region_or_unit,protection_unit_raw,protection_unit_normalized,source_url,collected_at,raw_record_id,manual_review_status
subitem_12177,I-1,I-1,I-1,苗族古歌,民间文学,1,2006,new,贵州省黄平县,贵州省,贵州省,522600,522622,贵州省黄平县 <br /> <br /> 苗族分布在我国西南数省区,黄平县非物质文化遗产保护中心,黄平县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12177,
subitem_12178,I-1,I-1,I-1,苗族古歌,民间文学,1,2006,new,贵州省台江县,贵州省,贵州省,522600,522630,贵州省台江县 <br /> <br /> 苗族分布在我国西南数省区,台江县非物质文化遗产保护中心,台江县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12178,
subitem_12179,I-1,I-1,I-1,苗族古歌,民间文学,3,2011,extension,湖南省花垣县,湖南省,湖南省,433100,433124,"湖南省花垣县 <br /> <br /> 苗族古歌是苗族古老的口头文学形式,其内容包括开天辟地、战争迁徙、风俗习惯、生产劳动、神话传说、爱情故事、情歌礼辞、丧葬火把、苗医苗药以及天文哲学等",花垣县非物质文化遗产保护中心,花垣县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,12179,
subitem_23632,I-1,I-1,I-1,苗族古歌(簪汪传),民间文学,5,2021,extension,贵州省贵阳市清镇市,贵州省,贵州省,520100,520181,贵州省贵阳市清镇市,清镇市文化馆,清镇市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:53+00:00,23632,
subitem_12204,I-10,I-10,I-10,西施传说,民间文学,1,2006,new,浙江省诸暨市,浙江省,浙江省,330600,330681,"浙江省诸暨市 <br /> <br /> 西施居中国古代四大美女之首,是中国传统文化中美的象征",诸暨市博物馆,诸暨市博物馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12204,
subitem_12343,I-100,I-100,I-100,王羲之传说,民间文学,3,2011,new,浙江省绍兴市,浙江省,浙江省,330600,,浙江省绍兴市 <br /> <br /> 王羲之是闻名中外的“书圣”,绍兴市文化馆、绍兴市非物质文化遗产保护中心,绍兴市文化馆、绍兴市非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12343,
subitem_12344,I-101,I-101,I-101,李时珍传说,民间文学,3,2011,new,湖北省蕲春县,湖北省,湖北省,421100,421126,"湖北省蕲春县 <br /> <br /> 李时珍(1518—1593),明代著名医药家,湖北蕲州人,曾官楚王府奉祠正,太医院院判",蕲春县文化馆,蕲春县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12344,
subitem_12345,I-102,I-102,I-102,蔡伦造纸传说,民间文学,3,2011,new,陕西省汉中市,陕西省,陕西省,610700,,陕西省汉中市 <br /> <br /> 蔡伦造纸传说起源于2世纪初的东汉早期,汉中市民间文艺家协会,汉中市民间文艺家协会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12345,
subitem_12346,I-103,I-103,I-103,牡丹传说,民间文学,3,2011,new,山东省菏泽市牡丹区,山东省,山东省,371700,371702,"山东省菏泽市牡丹区 <br /> <br /> 菏泽古称曹州,菏泽牡丹又称曹州牡丹,其牡丹传说故事家喻户晓,流传至今",菏泽市牡丹区文化馆,菏泽市牡丹区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12346,
subitem_12347,I-104,I-104,I-104,泰山传说,民间文学,3,2011,new,山东省泰安市,山东省,山东省,370900,,"山东省泰安市 <br /> <br /> 泰山传说,是泰山周边人民千百年来集体创作的口头文学,历史悠久、题材多样、内容丰富、流传广泛",泰安市泰山风景名胜区管理委员会（泰山林场）,泰安市泰山风景名胜区管理委员会(泰山林场),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12347,
