category,subitem_count,project_count,province_count,batch_count,new_count,extension_count,inheritor_count,matched_subitem_count,inheritor_coverage,inheritors_per_100_subitems
传统技艺,629,287,34,5,416,213,713,494,0.7854,113.35
民俗,492,183,34,5,289,203,231,198,0.4024,46.95
传统戏剧,473,171,34,5,302,171,949,398,0.8414,200.63
传统音乐,431,189,34,5,286,145,475,318,0.7378,110.21
传统美术,417,139,33,5,232,185,517,343,0.8225,123.98
传统舞蹈,356,144,32,5,204,152,380,280,0.7865,106.74
民间文学,251,167,31,5,216,35,164,111,0.4422,65.34
曲艺,213,145,32,5,173,40,253,150,0.7042,118.78
传统医药,182,23,31,5,40,142,182,122,0.6703,100.0
传统体育、游艺与杂技,166,109,30,5,120,46,131,102,0.6145,78.92
