province,batch_1,batch_2,batch_3,batch_4,batch_5
上海市,9.0,26.0,19.0,9.0,13.0
中直单位,23.0,11.0,3.0,3.0,7.0
云南省,36.0,47.0,22.0,17.0,23.0
内蒙古自治区,18.0,38.0,14.0,19.0,17.0
北京市,12.0,65.0,15.0,16.0,18.0
吉林省,5.0,22.0,11.0,6.0,11.0
四川省,27.0,78.0,15.0,19.0,14.0
天津市,7.0,10.0,5.0,11.0,14.0
宁夏回族自治区,3.0,5.0,2.0,8.0,10.0
安徽省,26.0,34.0,14.0,14.0,11.0
山东省,27.0,93.0,33.0,20.0,13.0
山西省,33.0,69.0,43.0,23.0,14.0
广东省,42.0,57.0,30.0,18.0,18.0
广西壮族自治区,22.0,9.0,9.0,12.0,18.0
新疆生产建设兵团,0.0,0.0,0.0,0.0,1.0
新疆维吾尔自治区,23.0,56.0,31.0,17.0,13.0
江苏省,37.0,62.0,27.0,19.0,16.0
江西省,19.0,16.0,11.0,24.0,18.0
河北省,39.0,78.0,15.0,16.0,14.0
河南省,26.0,56.0,13.0,18.0,12.0
浙江省,46.0,97.0,60.0,30.0,24.0
海南省,13.0,16.0,6.0,5.0,4.0
湖北省,21.0,60.0,25.0,21.0,18.0
湖南省,29.0,41.0,29.0,19.0,19.0
澳门特别行政区,2.0,1.0,3.0,2.0,3.0
甘肃省,23.0,31.0,8.0,7.0,15.0
福建省,43.0,51.0,19.0,17.0,15.0
西藏自治区,23.0,35.0,16.0,13.0,17.0
贵州省,40.0,61.0,24.0,15.0,19.0
辽宁省,22.0,31.0,7.0,7.0,9.0
重庆市,13.0,16.0,10.0,5.0,9.0
陕西省,24.0,30.0,11.0,13.0,13.0
青海省,19.0,38.0,7.0,9.0,15.0
香港特别行政区,2.0,0.0,4.0,4.0,2.0
黑龙江省,9.0,12.0,6.0,7.0,8.0
