province,subitem_count,project_count,protection_unit_count,categories_covered,inheritor_count,matched_subitem_count,inheritor_coverage,inheritors_per_100_subitems
浙江省,257,176,195,10,271,175,0.6809,105.45
山东省,186,121,135,10,146,97,0.5215,78.49
山西省,182,124,159,10,198,121,0.6648,108.79
广东省,165,105,135,10,190,124,0.7515,115.15
河北省,162,97,111,10,188,121,0.7469,116.05
江苏省,161,109,135,10,227,132,0.8199,140.99
贵州省,159,98,69,10,135,89,0.5597,84.91
四川省,153,113,110,10,153,117,0.7647,100.0
湖北省,145,100,95,10,141,94,0.6483,97.24
云南省,145,127,91,10,160,116,0.8,110.34
福建省,145,102,125,10,187,96,0.6621,128.97
新疆维吾尔自治区,140,94,82,9,134,97,0.6929,95.71
湖南省,137,97,104,10,153,100,0.7299,111.68
北京市,126,96,106,10,144,80,0.6349,114.29
河南省,125,95,106,10,159,98,0.784,127.2
内蒙古自治区,106,76,67,10,110,79,0.7453,103.77
西藏自治区,104,57,67,10,117,76,0.7308,112.5
安徽省,99,72,92,10,143,88,0.8889,144.44
陕西省,91,73,73,10,101,58,0.6374,110.99
青海省,88,72,47,10,100,70,0.7955,113.64
江西省,88,72,71,10,93,62,0.7045,105.68
甘肃省,84,64,64,10,84,59,0.7024,100.0
上海市,76,63,71,10,147,55,0.7237,193.42
辽宁省,76,51,54,10,75,56,0.7368,98.68
广西壮族自治区,70,61,46,10,66,50,0.7143,94.29
吉林省,55,50,34,10,32,27,0.4909,58.18
重庆市,53,49,35,10,74,42,0.7925,139.62
中直单位,47,38,29,9,0,22,0.4681,0.0
天津市,47,35,33,10,58,38,0.8085,123.4
海南省,44,31,21,6,36,25,0.5682,81.82
黑龙江省,42,33,35,10,35,25,0.5952,83.33
宁夏回族自治区,28,26,18,9,30,16,0.5714,107.14
香港特别行政区,12,11,11,5,5,5,0.4167,41.67
澳门特别行政区,11,9,10,6,9,6,0.5455,81.82
新疆生产建设兵团,1,1,1,1,0,0,0.0,0.0
