subitem_id,project_code,project_name,category,batch_no,publish_year,entry_type,region_raw,province,protection_unit_normalized,review_result,review_comment,reviewed_at,reviewer
subitem_12204,I-10,西施传说,民间文学,1,2006,new,浙江省诸暨市,浙江省,诸暨市博物馆,,,,
subitem_12234,I-27,格萨(斯)尔,民间文学,1,2006,new,四川省,四川省,甘孜藏族自治州文化馆,,,,
subitem_12254,I-36,牛郎织女传说,民间文学,2,2008,new,山东省沂源县,山东省,沂源县文化馆(沂源县非物质文化遗产保护中心、沂源县书画院),,,,
subitem_12268,I-43,麒麟传说,民间文学,2,2008,new,山东省巨野县,山东省,巨野县文化馆,,,,
subitem_12352,I-108,阿尼玛卿雪山传说,民间文学,3,2011,new,青海省果洛藏族自治州,青海省,果洛州文化馆(果洛州非物质文化遗产传承保护中心、果洛州群众体育指导服务中心),,,,
subitem_12370,I-122,羌戈大战,民间文学,3,2011,new,四川省汶川县,四川省,汶川县文化馆,,,,
subitem_12402,I-150,西王母神话,民间文学,4,2014,new,新疆维吾尔自治区阜康市,新疆维吾尔自治区,新疆天池管理委员会(新疆天山天池风景名胜区管理委员会、新疆天池博格达峰自然保护区管理局),,,,
subitem_12391,I-140,苏仙传说,民间文学,4,2014,new,湖南省郴州市苏仙区,湖南省,郴州市苏仙区文化馆,,,,
subitem_23634,I-13,宝卷(岷县宝卷),民间文学,5,2021,extension,甘肃省定西市岷县,甘肃省,岷县文化馆,,,,
subitem_23440,I-160,珠玑巷人南迁传说,民间文学,5,2021,new,广东省韶关市南雄市,广东省,南雄市非物质文化遗产传承保护中心,,,,
subitem_12362,I-115,黑暗传,民间文学,3,2011,new,湖北省保康县,湖北省,保康县文化馆,,,,
subitem_12345,I-102,蔡伦造纸传说,民间文学,3,2011,new,陕西省汉中市,陕西省,汉中市民间文艺家协会,,,,
subitem_12200,I-9,董永传说,民间文学,1,2006,new,湖北省孝感市,湖北省,孝感市群众艺术馆(孝感市非物质文化遗产保护中心),,,,
subitem_12319,I-80,土家族梯玛歌,民间文学,2,2008,new,湖南省龙山县,湖南省,龙山县非物质文化遗产保护中心,,,,
subitem_23638,I-96,禅宗祖师传说(六祖传说),民间文学,5,2021,extension,广东省云浮市新兴县,广东省,新兴县文化馆,,,,
subitem_12296,I-63,梅葛,民间文学,2,2008,new,云南省楚雄彝族自治州,云南省,楚雄彝族自治州非物质文化遗产保护中心,,,,
subitem_12314,I-77,藏族婚宴十八说,民间文学,2,2008,new,青海省,青海省,青海省文化馆,,,,
subitem_12198,I-9,董永传说,民间文学,1,2006,new,江苏省东台市,江苏省,东台市文化馆,,,,
subitem_12348,I-105,黄鹤楼传说,民间文学,3,2011,new,湖北省武汉市武昌区,湖北省,武汉市黄鹤楼公园管理处,,,,
subitem_12239,I-27,格萨(斯)尔,民间文学,1,2006,new,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区民间文艺家协会,,,,
