subitem_id,project_code,project_name,category,batch_no,publish_year,entry_type,region_raw,province,protection_unit_normalized,review_result,review_comment,reviewed_at,reviewer
subitem_14985,X-36,妈祖祭典,民俗,1,2006,new,中华妈祖文化交流协会,中直单位,中华妈祖文化交流协会,,,,
subitem_12812,III-2,秧歌(昌黎地秧歌),传统舞蹈,1,2006,new,河北省昌黎县,河北省,昌黎县文化馆,,,,
subitem_13692,V-62,襄垣鼓书,曲艺,2,2008,new,山西省襄垣县,山西省,襄垣县文化馆,,,,
subitem_13356,IV-80,藏戏(色达藏戏),传统戏剧,2,2008,extension,四川省色达县,四川省,色达县文化馆,,,,
subitem_12368,I-120,洛奇洛耶与扎斯扎依,民间文学,3,2011,new,云南省墨江哈尼族自治县,云南省,墨江哈尼族自治县文化馆,,,,
subitem_12881,III-5,狮舞(松岗七星狮舞),传统舞蹈,3,2011,extension,广东省深圳市,广东省,深圳市宝安区松岗街道党建服务中心(深圳市宝安区松岗街道人才人事服务中心、深圳市宝安区松岗街道离退休干部活动中心、深圳市宝安区松岗街道社区教育中心、深圳市宝安区松岗街道文化体育中心、深圳市宝安区松岗街道劳动保障服务中心),,,,
subitem_12381,I-131,老子传说,民间文学,4,2014,new,安徽省涡阳县,安徽省,涡阳县文化馆,,,,
subitem_15086,X-71,元宵节(前童元宵行会),民俗,4,2014,extension,浙江省宁海县,浙江省,宁海县文化馆,,,,
subitem_23454,II-177,独龙族民歌,传统音乐,5,2021,new,云南省怒江傈僳族自治州贡山独龙族怒族自治县,云南省,云南省贡山独龙族怒族自治县文化馆,,,,
subitem_23814,IX-2,中医诊疗法(孔伯华中医世家医术),传统医药,5,2021,extension,北京市朝阳区,北京市,孔医堂(北京)科技有限责任公司,,,,
subitem_12696,II-121,笙管乐(超化吹歌),传统音乐,2,2008,new,河南省新密市,河南省,新密市文化馆(新密市非物质文化遗产保护中心),,,,
subitem_13019,III-45,灯舞(鲤鱼灯舞),传统舞蹈,2,2008,new,江西省吉安县,江西省,吉安县文化馆(吉安县非物质文化遗产保护中心),,,,
subitem_15308,X-139,婚俗(瑶族婚俗),民俗,4,2014,extension,广东省连南瑶族自治县,广东省,连南瑶族自治县文化馆,,,,
subitem_15330,X-159,柯尔克孜族服饰,民俗,4,2014,new,新疆维吾尔自治区乌恰县,新疆维吾尔自治区,乌恰县文化馆,,,,
subitem_12382,I-131,老子传说,民间文学,4,2014,new,河南省灵宝市,河南省,灵宝市文化馆,,,,
subitem_15275,X-120,南海航道更路经,民俗,3,2011,extension,海南省琼海市,海南省,琼海市文化馆(琼海市琼剧研究展演团),,,,
subitem_23458,II-181,两当号子,传统音乐,5,2021,new,甘肃省陇南市两当县,甘肃省,两当县文化馆,,,,
subitem_12308,I-73,珠郎娘美,民间文学,2,2008,new,贵州省榕江县,贵州省,榕江县非物质文化遗产保护中心,,,,
subitem_14428,VIII-86,烟火爆竹制作技艺(萍乡烟花制作技艺),传统技艺,2,2008,extension,江西省上栗县,江西省,上栗县文化馆,,,,
subitem_13244,IV-46,寿宁北路戏,传统戏剧,1,2006,new,福建省寿宁县,福建省,寿宁县北路戏保护传承中心,,,,
subitem_14018,VII-38,砖雕(固原砖雕),传统美术,4,2014,extension,宁夏回族自治区固原市,宁夏回族自治区,固原市文化馆(固原市非物质文化遗产保护中心、固原市美术馆、固原市文物保护中心),,,,
subitem_12201,I-9,董永传说,民间文学,2,2008,extension,山东省博兴县,山东省,博兴县文化馆,,,,
subitem_13974,VII-16,剪纸(水族剪纸),传统美术,4,2014,extension,贵州省黔南布依族苗族自治州,贵州省,黔南布依族苗族自治州非物质文化遗产保护中心(黔南布依族苗族自治州文化艺术研究所),,,,
subitem_12207,I-13,河西宝卷,民间文学,1,2006,new,甘肃省武威市凉州区,甘肃省,凉州区文化馆,,,,
subitem_12474,II-30,多声部民歌(瑶族蝴蝶歌),传统音乐,2,2008,extension,广西壮族自治区富川瑶族自治县,广西壮族自治区,富川瑶族自治县文化馆,,,,
subitem_14458,VIII-98,陶器烧制技艺(建水紫陶烧制技艺),传统技艺,2,2008,new,云南省建水县,云南省,建水县非物质文化遗产保护中心,,,,
subitem_14614,VIII-148,绿茶制作技艺(婺源绿茶制作技艺),传统技艺,4,2014,extension,江西省婺源县,江西省,婺源县文化馆,,,,
subitem_12933,III-20,锅庄舞(昌都锅庄舞),传统舞蹈,1,2006,new,西藏自治区,西藏自治区,西藏自治区昌都市卡若区文化局,,,,
subitem_12428,II-14,儋州调声,传统音乐,1,2006,new,海南省儋州市,海南省,儋州市文化馆,,,,
subitem_13456,IV-93,老调(安国老调),传统戏剧,3,2011,extension,河北省安国市,河北省,安国老调艺术传播有限公司,,,,
